Id,UserId,Avatar,Author,Content,ReactionsCount,Depth,SubCommentsCount,CommentAt,,,Link postingan,https://www.instagram.com/p/C_vFV0xS4Ud/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
18008755685383081,1437751510,,mery_zaa,MashaAllah kerenn bundi ❤️🔥 semoga selalu bisa menjadi manfaat 😇❤️,11,0,0,09/10/2024 19:03,,,,
17980973255724665,3120481323,,kafaizaa,Merindingbgt🥺,5,0,0,09/10/2024 19:03,,,,
17847481248294864,250196343,,talinnt,Masha Allah,0,0,0,09/10/2024 19:03,,,,
18045234577805919,1707208638,,santilatasse,❤️❤️❤️,0,0,0,09/10/2024 19:04,,,,
17966473247794833,628447039,,sucikomalasari,❤️❤️❤️,0,0,0,09/10/2024 19:04,,,,
18021813464408740,2979704193,,nurulaini_fz,Masyaa Allaah 🇵🇸❤️💚🤍🖤🇵🇸,0,0,0,09/10/2024 19:04,,,,
18022718111156747,1128795963,,sabrinaberchi,🥹 free Palestine 🇵🇸🤍,72,0,0,09/10/2024 19:04,,,,
18020563793204689,2964122860,,fhonnaarmelia,😍😍😍😍😍,0,0,0,09/10/2024 19:05,,,,
"1,82405E+16",1808269190,,nisy05,Masya Allah dian,0,0,0,09/10/2024 19:05,,,,
17981880896726249,650519675,,nieshamanurung,❤️❤️❤️,0,0,0,09/10/2024 19:05,,,,
17900715447045298,899413297,,ririnayp,Kenapa gak bisa di-like berkali-kali sih😢😢❤️,16,0,0,09/10/2024 19:05,,,,
18057641113736849,2309030868,,srirahayua24,"MasyaAllah mb dian super keren , smiga Allah jaga mb dian sekelaurga ❤️",2,0,0,09/10/2024 19:05,,,,
18062021941632374,1520951204,,hollatalpiah_ltc,#freepalestine🇵🇸 🤲🏻🤍,0,0,0,09/10/2024 19:05,,,,
17917892675882580,1732275610,,ulfaprasetyaa,MAASYAAALLAH 🔥🔥,0,0,0,09/10/2024 19:06,,,,
18234902992302627,7685224676,,wardahshe_,🌹🌹🌹,0,0,0,09/10/2024 19:06,,,,
18041874335000243,2309030868,,srirahayua24,Ku menangis masyaAllah ❤️,0,0,0,09/10/2024 19:06,,,,
17851277271276374,212477185,,zoeymalik86,Mashaallah…. Makin suka aku sama kamu. May Allah bless you always. Love from Malaysia 🇲🇾💖💖,3,0,0,09/10/2024 19:06,,,,
18025689998342081,4127901012,,alenka_vania_momma,😍,0,0,0,09/10/2024 19:06,,,,
18024257651458214,32650125987,,iam_bobaaa,"Masyaallahhh allahumma sholliala muhammad🥹, semoga semakin banyak orang""diluar sana yang bisa seberani bundi❤️‍🔥🤲🏻",5,0,0,09/10/2024 19:06,,,,
18065567116617605,263263563,,ellayahya,MasyaAllah... Keren.... ❤️🔥,0,0,0,09/10/2024 19:06,,,,
18035059061136851,352942170,,rosalynaeldika,Influencing done right! 🇵🇸🇵🇸,0,0,0,09/10/2024 19:06,,,,
17902857342035134,7577892403,,aguksetiani,Bundiiii❤️🤍💚 keren bgt!!!!,0,0,0,09/10/2024 19:07,,,,
17992254986528599,2242334596,,mutia__rahayu,Kerenn Mba Dian ❤️👏,0,0,0,09/10/2024 19:07,,,,
18037669052489925,2213667749,,monnyccaa,Magnifique collection 🙌 😍😍😍🔥🔥🔥🔥,3,0,0,09/10/2024 19:07,,,,
18035609011949871,2046117693,,nizamwinado,❤️❤️❤️❤️,0,0,0,09/10/2024 19:07,,,,
17916373316892279,1769284632,,nurulfaziila,Bundii 🥹🤍🇵🇸,0,0,0,09/10/2024 19:07,,,,
18006059081443855,6270707254,,petals_galery,You are always the inspiration ❤️ Thank you mbak dian 👏,1,0,0,09/10/2024 19:07,,,,
18303141355163442,1431557455,,indah_chrisma,❤️🔥,0,0,0,09/10/2024 19:07,,,,
18107265454417253,4636763526,,nenenghadiatii,Salute mba.. masyaAllah 👏👏🔥,1,0,0,09/10/2024 19:08,,,,
18071474257562854,55019391,,megamelianty,Maa Shaa ALLAH 🇵🇸🇵🇸🇵🇸🩶,12,0,0,09/10/2024 19:08,,,,
17867635113195310,1200857316,,jumsrimurty_ramadhan,Masya Allah,0,0,0,09/10/2024 19:08,,,,
18363238054111808,296762288,,lindnila,😍😍🤲🤲🤲,0,0,0,09/10/2024 19:08,,,,
18038995478302434,1164694289,,firadamopolii,🔥🔥❤️❤️,0,0,0,09/10/2024 19:08,,,,
17897298468056740,1822090217,,aldannida,FRMTHRVRTOTHSEA 🇵🇸🇵🇸🇵🇸🇵🇸,0,0,0,09/10/2024 19:08,,,,
18032390357239183,2259666670,,mei_nadira,Maa Shaa Allah ❤️ merinding liat nya,0,0,0,09/10/2024 19:09,,,,
17909812380006725,203201724,,dianfirlyana,You go girl! 🔥🔥🔥 Speak through your talent. @dianpelangi,0,0,0,09/10/2024 19:09,,,,
18054935227786895,1775831639,,_nataliania,Bundi ❤️,4,0,0,09/10/2024 19:09,,,,
17901997149027518,1394568219,,arieswahyuanggraini,Proud of you kakak 😍,1,0,0,09/10/2024 19:09,,,,
18055644886696715,2882843178,,ardrahadi,MasyaaAllah bundi🫶🏻🩷,0,0,0,09/10/2024 19:09,,,,
18461076775063366,1127436699,,amelia_amelita,Idolaku selalu😍❤️Sehat Selalu Kak. 🇵🇸🇵🇸🇵🇸,10,0,0,09/10/2024 19:10,,,,
18022371155589816,9955408,,soniahanifati,😍🔥,0,0,0,09/10/2024 19:10,,,,
17963608760672041,574270088,,fitri_chichi,👏👏👏👏👏👏👏👏 proud of u @dianpelangi,5,0,0,09/10/2024 19:11,,,,
18034355494983947,3937702239,,aliaagustina74,❤️,0,0,0,09/10/2024 19:11,,,,
18047202940927462,1442102802,,nindiehanjar,BOLD🔥,0,0,0,09/10/2024 19:11,,,,
18280957111237766,2117051852,,shifaaaaadillah,😢👏👏,0,0,0,09/10/2024 19:11,,,,
17860366845182478,55990484542,,mamamput28,MasyaAllah 🔥🔥❤️,0,0,0,09/10/2024 19:12,,,,
17990012747534633,1434802326,,corycornelyaa,Kerenn kaaa🔥,0,0,0,09/10/2024 19:13,,,,
17913688034988502,4144457209,,wardahmaulina_,Masya Allah 😍🔥,56,0,0,09/10/2024 19:13,,,,
18038314340283478,213017647,,indyrahmanp,😍😍😍😍,0,0,0,09/10/2024 19:13,,,,
17848742160263190,6071830239,,emeltasarm,👏❤️,0,0,0,09/10/2024 19:13,,,,
18076879801530345,50218427,,gdaghaida,Ma sya Allah @dianpelangi ❤️❤️❤️🔥🍉✨ semoga Allah meridhoi ❤️,71,0,0,09/10/2024 19:13,,,,
18457458736011722,299162177,,hariayo,❤️😍,0,0,0,09/10/2024 19:14,,,,
17999425061656594,269750909,,suzansaptono,MasyaAllah...mbak @dianpelangi  keren banget. Allahumma baarik,1,0,0,09/10/2024 19:14,,,,
18052486036849612,1700614622,,najmahshhb,Merinding liat bundi🥺 free palestine🔥,6,0,0,09/10/2024 19:14,,,,
17896670684984724,549875822,,mufibinti,Bundanya Rumi kereenn❤️,0,0,0,09/10/2024 19:14,,,,
18055553119637804,3429208624,,apipahpidiyanti,Mashaa alloh bundi🔥,0,0,0,09/10/2024 19:14,,,,
