Id,UserId,Avatar,Author,Content,ReactionsCount,Depth,SubCommentsCount,CommentAt,,,Link postingan,https://www.instagram.com/reel/DAfJfuySQXX/?utm_source=ig_web_copy_link
"1,79256E+16",3515552189,,mahdalena._,Model idola❤️❤️,0,0,0,09/29/2024 7:02 PM,,,,
18040127327505208,2104547682,,queenzalfa99,MasyaAllah 😢🥰🥰🥰🥰,0,0,0,09/29/2024 7:04 PM,,,,
18061550314669318,3924460245,,fika_alfatih1453,🥰🥰🥰🥰🥰,0,0,0,09/29/2024 7:04 PM,,,,
17937538238793173,5989101395,,zha_azizah91,Mamapau❤️❤️❤️,0,0,0,09/29/2024 7:04 PM,,,,
17868659448206312,7889235773,,rotiiioww_,Cantik MasyaAllah,0,0,0,09/29/2024 7:05 PM,,,,
17956441343822018,1654593014,,evaapriyani03,"Orang klo mau k jln yg lebih baik emg bnyk ujiannya ya, pkknya selalu istiqomah mamapau yakin hadiahnya bkln indah stlh melewati ujian❤️",1,0,0,09/29/2024 7:06 PM,,,,
18456769771010704,321720657,,wantipermana,❤️❤️,0,0,0,09/29/2024 7:06 PM,,,,
18089017375493221,56610030992,,cinthiya_hatmammaqdhiya,Masyaalloh tabaarokalloh….❤️❤️❤️❤️,0,0,0,09/29/2024 7:06 PM,,,,
18373130149096173,3297260225,,gretta_magdalena_soegianto,Paulaaaa 🥰❤️,0,0,0,09/29/2024 7:08 PM,,,,
18040945490316806,3017691126,,riniloureka,❤️❤️❤️,0,0,0,09/29/2024 7:08 PM,,,,
18247708813257124,791165900,,masyarotulaliah,❤️❤️❤️,0,0,0,09/29/2024 7:09 PM,,,,
18021217787219669,7394530438,,anriseva1,Baim dan Arya saloka 1 circle rmh tangga nya bukan buat konsumsi publik.. Diam seribu bahasa,0,0,0,09/29/2024 7:10 PM,,,,
18043832642301546,6050496158,,reka_b_utami,Masyaallah ademmmm,0,0,0,09/29/2024 7:10 PM,,,,
17867489784143950,1068292232,,dini_sekarmelati,❤️❤️❤️🥰🥰🥰🥰😍😇,0,0,0,09/29/2024 7:10 PM,,,,
18029700359338338,60858569660,,wi.dia4766,❤️❤️🥰🥰,0,0,0,09/29/2024 7:11 PM,,,,
17984527079595907,7179757267,,rinosonodikarso,Mode umi pipik 😂😂😂😂,1,0,0,09/29/2024 7:12 PM,,,,
18017205926306704,5695179785,,e.d.yanti11,Masya Allah cantiknya ciptaanMu. Tetaplah menjadi bidadari 😇,0,0,0,09/29/2024 7:12 PM,,,,
18008058371442984,67998507721,,mita_seokjin12,Masya Allah 😍,0,0,0,09/29/2024 7:14 PM,,,,
"1,80132E+16",40322261912,,yan_atla9,Masha Allah ❤,0,0,0,09/29/2024 7:15 PM,,,,
18044314192846909,348374989,,shaarain,🥹🥹🥹🥹🥹,0,0,0,09/29/2024 7:17 PM,,,,
18085641838496901,4043357437,,cheylaratu,😍😍😍,0,0,0,09/29/2024 7:19 PM,,,,
17877373500154947,456454506,,ratnasariafri,Sehat- sehat kak ❤️,0,0,0,09/29/2024 7:19 PM,,,,
18071960095580024,4664559562,,nngjtprwti,Masyaallah❤️❤️❤️,0,0,0,09/29/2024 7:20 PM,,,,
18355099681188772,58030389939,,milimili8824,Kenapa hijab Indo lebih panjaaaang melebihi hijab Arab …Sy lebih suka bajunya longgar hijabnya cukup tutupi Dada … maaf yaa,1,0,0,09/29/2024 7:21 PM,,,,
"1,80332E+16",4196675228,,rinatiaramecca,❤️,0,0,0,09/29/2024 7:23 PM,,,,
