Id,UserId,Avatar,Author,Content,ReactionsCount,Depth,SubCommentsCount,CommentAt,,,Link postingan,https://www.instagram.com/reel/C_k4Ny-yWfH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
17909323232915765,48928719159,,iinamahoru,😍😍,5,0,0,09/06/2024 20:00,,,,
18068515117590647,367827641,,desycycle,🤍🤍🤍,6,0,0,09/06/2024 20:01,,,,
18038268779476462,31444530718,,ratnaa_ciky,😍😍😍,5,0,0,09/06/2024 20:01,,,,
17915527484977451,46677604271,,rahayu.istiqomah.96,"Masya Alloh tabarakalloh,,, semoga saya segera ke tanah Suci ibadah haji dan umroh juga, aamiin",5,0,0,09/06/2024 20:01,,,,
18061762375642775,53942319739,,ynysyakieb,Aamiin ya Allah,4,0,0,09/06/2024 20:01,,,,
18043300036834014,62252177913,,melindaagustina35,Aamiin ❤️❤️,6,0,0,09/06/2024 20:01,,,,
18057294823705694,3172223617,,rosmayanti1991,Aamiin❤️,4,0,0,09/06/2024 20:01,,,,
18269019148217889,28253428074,,kaswitaermy,Aamiin Ya Robbalalamin🤲...MasyaAllah mau ...,5,0,0,09/06/2024 20:02,,,,
17913940907897880,38199884966,,novia.hijab,Aamiin🙏,4,0,0,09/06/2024 20:02,,,,
18118757881387386,4063727303,,umizanur,Aamiin ya Allah,4,0,0,09/06/2024 20:02,,,,
17876714631117852,55124853260,,unnunnamoon,Amin amin ya Allah smg bs umroh😢,5,0,0,09/06/2024 20:02,,,,
17952311552827159,1914822387,,riyani179,Aamiin,4,0,0,09/06/2024 20:04,,,,
18045722005781939,7095073971,,dewi.defa.3,❤️❤️❤️❤️❤️❤️,5,0,0,09/06/2024 20:04,,,,
17879412126107820,5605906744,,nurhayati220189,Aamiin ya Allah,4,0,0,09/06/2024 20:04,,,,
18028705274353412,47451805646,,maulidyamqarramah,❤️❤️❤️❤️,5,0,0,09/06/2024 20:04,,,,
18041708771001641,344340009,,jjulaeha01,Aamiinnn ya Allah🤲,5,0,0,09/06/2024 20:04,,,,
18134287399360169,2341125905,,hanapratiwi90,MasyaAllah,3,0,0,09/06/2024 20:04,,,,
18059020606667010,1933967532,,diah_novitasari19,"Aamiin ya Allah, mau banget umroh bareng kak ciky 🤲😊",5,0,0,09/06/2024 20:04,,,,
18077016514478266,5829002985,,mielhaice,Aamiin ❤️❤️❤️,3,0,0,09/06/2024 20:05,,,,
