Id,UserId,Avatar,Author,Content,ReactionsCount,Depth,SubCommentsCount,CommentAt,,,Link postingan,https://www.instagram.com/p/DDuQTB6yNjp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
17934876446865841,7898514128,,khusnulika3,Sehat selalu kk @riaricis1795,2,0,0,12/18/2024 9:17 PM,,,,
17938136486950305,33660492982,,ayyunda_maghfira,Bu icis aku besok Ulang Tahun ❤️,2,0,0,12/18/2024 9:17 PM,,,,
18113621917430871,3971850987,,keyla.ar_,Ada rambut buk icis😂,6,0,0,12/18/2024 9:17 PM,,,,
17974162988799270,49080424434,,khasna_jea,Cantik masyallah srhat selalu Ibu Moana,3,0,0,12/18/2024 9:17 PM,,,,
17984918354783359,4144887882,,dewi.lusi__,dilangit ada matahari . dibumi ada bidadari.  siapa dia ? yang nyawer aku malam ini😍🤪,1,0,0,12/18/2024 9:17 PM,,,,
18481668583048501,53653844589,,siskamaemuna0_4,🙌🙌,1,0,0,12/18/2024 9:17 PM,,,,
17849477736333696,5002568407,,tsyasalsabilaa_,cantikk😍😍😍,1,0,0,12/18/2024 9:17 PM,,,,
17931797126971003,204144671,,centang_biru_real,Iiiii cantik bngeeetttt🔥❤️❤️😍 centang biru verified ny kk🔵🔵,1,0,0,12/18/2024 9:17 PM,,,,
18017354954636807,60001078074,,d.yullia_,"Ka icisss tolong mundur sedikit ke selatan, cantiknya tidak bisa di utarakan 😍",1,0,0,12/18/2024 9:17 PM,,,,
18079032745587686,55275472496,,keisya.sukainsc_66,moanaaa cantikkk bangett apalagi ibuukknya,1,0,0,12/18/2024 9:17 PM,,,,
17872318710247742,42065704323,,ritalestari751,Masyaallah kaya masih gadis aja makin cantik,3,0,0,12/18/2024 9:17 PM,,,,
18192863188305939,5272886875,,idamurs55,"Pengen ngerasain disawer sama bu icis, mau jajan seblak di gang sebelah😍",1,0,0,12/18/2024 9:17 PM,,,,
17921493375001499,22941081125,,meylianadewi05,Di atas nasigoreng masih ada kerupuk bu icis🤤,2,0,0,12/18/2024 9:17 PM,,,,
18013325189653114,55076597609,,desiayu5708,❤️,2,0,0,12/18/2024 9:18 PM,,,,
17949101261777702,70198638947,,tetehemonnz,Cantik Bu icis😍,2,0,0,12/18/2024 9:18 PM,,,,
18112815823442250,1962679131,,zyxwiwiklmnopqrstuv,😉,2,0,0,12/18/2024 9:18 PM,,,,
18032258396171051,6251350696,,ftmhzzahro,Moana😍🙌,2,0,0,12/18/2024 9:18 PM,,,,
18047606315112489,47833033229,,adlndmryn,"Moana cute sekali,masyaallah❤️",3,0,0,12/18/2024 9:18 PM,,,,
17996396195708624,60031942574,,glory_gevariel,😍😍,1,0,0,12/18/2024 9:18 PM,,,,
18092809285502927,34944667248,,lilis_rhmwti1202,Maa syaa allah bu iciss kayaa masihh gadisssaa😍 Moanaaaaa gueee cakeppp amatt siiiii💋,6,0,0,12/18/2024 9:18 PM,,,,
18389192569098523,3400490141,,zee.zeah,Sehat selalu Bu icis🙌,1,0,0,12/18/2024 9:18 PM,,,,
17898601782097473,47356331602,,akar2pngkt9,mon jangan cepet cepet gede,4,0,0,12/18/2024 9:18 PM,,,,
18058523008910055,26177258495,,khansaa_025,❤️❤️❤️,1,0,0,12/18/2024 9:18 PM,,,,
18370341340115374,57564600676,,thericisofficialindonesiaaa,Cantik banget nih ber 2 😍,150,0,0,12/18/2024 9:18 PM,,,,
18074355682620211,10927028692,,amrina_miya,Sawer donk ibu'e moana😍,2,0,0,12/18/2024 9:18 PM,,,,
17886083973178806,1552021172,,linaoktaviiaa,Cakepp😂,1,0,0,12/18/2024 9:18 PM,,,,
18042010598264543,9212902264,,__babyynativee_,MasyaAllah moanaa samaa ibukkk iciss cantikkk sekaliiii gemassss 🤩❤️,1,0,0,12/18/2024 9:18 PM,,,,
17996325089708667,53466350423,,rimah5291,Masyaalloh tabarakalloh sehat2 ibu icis dan moana cantik ❤️❤️❤️,1,0,0,12/18/2024 9:18 PM,,,,
18128925988385757,6424370738,,rahmaaaaa1805,Masya Allah Bu icis😍😍😍,1,0,0,12/18/2024 9:18 PM,,,,
18053942800825326,43997913739,,m.afnan_haidar,Woyyy adakah janda???😂😂😂,3,0,0,12/18/2024 9:18 PM,,,,
18048903077032717,8471993687,,jyanggelia,aku pake pita itu diketawain😔 bismillah disawer😔,4,0,0,12/18/2024 9:18 PM,,,,
18019542968375594,1275818507,,misterforong_id,Sehat terus ya alloh آمِيْن..🤲,1,0,0,12/18/2024 9:18 PM,,,,
18055383965498541,26435905968,,dila.fdl30,Sehattt2 moanaa,0,0,0,12/18/2024 9:18 PM,,,,
18025137644624808,1508020398,,_lsasaa,Diatas langit masih ada langit ❤️,0,0,0,12/18/2024 9:18 PM,,,,
18066960535742596,2243324891,,ismiandyah_19,CANTIK🤍,1,0,0,12/18/2024 9:18 PM,,,,
18072217480652141,1723200256,,renataayu__,Moaanaaaaaaaaa gemes amaad❤️,26,0,0,12/18/2024 9:18 PM,,,,
17948891981872289,57564600676,,thericisofficialindonesiaaa,"slide 3 gaya andalan moana, apaaan tuh 🤨",977,0,1,12/18/2024 9:18 PM,,,,
18054380536985292,12011116885,,nisayuliani02,Aku di sini dan kau disana  dan aku disini nunggu saweran mu😂,1,0,0,12/18/2024 9:18 PM,,,,
18479053048039374,10195929368,,nadiasyifaaf,kembar kembar lucu setiap harinyaa!!! moana sayang doain ibunya sehat terus yaa 🫰🏻🩷🩷,1,0,0,12/18/2024 9:18 PM,,,,
18368840083136663,46751953573,,hanabeedump,❤️❤️❤️,0,0,0,12/18/2024 9:18 PM,,,,
18307320496201077,49861702400,,syahriantivivi,always happy ibu muda cantik😍😍,0,0,0,12/18/2024 9:18 PM,,,,
17891073618055203,62854449185,,si__euceu,"Bu Icis lagi seneng kerudung dipakein pita 🎀 yaa, jadi tambah kiyut 😉",0,0,0,12/18/2024 9:18 PM,,,,
"1,79358E+16",47805882840,,tatii.saadah,Allohumma sholli 'ala sayyidina Muhammad 🤲🏻,0,0,0,12/18/2024 9:18 PM,,,,
18031756283178579,2994832723,,rohanahnana18,Diatas kumis masih ada bulu idung sering tabrakan kaya pendapat,0,0,0,12/18/2024 9:18 PM,,,,
18105910807458241,7237157902,,wj_business1,SEHAT SELALU YA KAK! ❤️😊👍,1,0,0,12/18/2024 9:18 PM,,,,
18015620651438277,31392528456,,dinarolia_,Masya Allah bu icis🤩,1,0,0,12/18/2024 9:18 PM,,,,
18000373505705988,5783290820,,its.maaayyy__,Cantik tikkk tikk tikk titikk😍😍😍,1,0,0,12/18/2024 9:18 PM,,,,
18015552896447639,10972482602,,chimo_miaowww,Ya Allahh lucu amayy monnn. Bu icis ada kah jajan untuk gift Hari Ibu? 😭,1,0,0,12/18/2024 9:18 PM,,,,
18058084408920921,7997850265,,raykharisma_,"bu iciss, asing itu kalo makanan kebanyakan garem nggasih?",1,0,0,12/18/2024 9:18 PM,,,,
18474953140029816,42260584485,,wahyunii.31,Yang paling manis moana dan bu icis🔥🔥,6,0,0,12/18/2024 9:18 PM,,,,
17905523196075745,5652216903,,syifaauliyanii,Masha Allah Bu ICIS kayak ABG umur 19san😍,0,0,0,12/18/2024 9:18 PM,,,,
17855512215281441,44582551974,,alice_april_017,Masyaallah makin cantik kak @riaricis1795 😍,0,0,0,12/18/2024 9:19 PM,,,,
18051660860312651,65174741739,,cintakarena341,Di atas ricis masih ada icis cis bagi cicis dong cis😂,0,0,0,12/18/2024 9:19 PM,,,,
18387025441098367,44959827363,,ypytaanggraini,"Masya Allah bngettt slied ke3, bismillah ada rezeki dari Allah lewat bu icisss, buat mudik liburrr tahun baru nii Bu iciss😂😍😍❤️🔥",0,0,0,12/18/2024 9:19 PM,,,,
18046034270140410,62881935174,,bara_loved1616,Masyallah sehat selalu yah bu iciss  semangat trusss 🔥❤️,0,0,0,12/18/2024 9:19 PM,,,,
18061393999869572,1639146987,,viidhakurnia,BISA BISANYA MOANA KEDIP SEBELAH 😂😍❤️GEMES BANGET,0,0,0,12/18/2024 9:19 PM,,,,
17948532608781963,3955017571,,auliaazzwr,Cakep nya masyaaAllah,1,0,0,12/18/2024 9:19 PM,,,,
18023677727545876,14983043869,,sherssherrlyn,buu iciss huhu pengen sesekali ngerasain saweran nyaa dari buu iciss @riaricis1795 🤭,2,0,0,12/18/2024 9:19 PM,,,,
18073877839627264,3445483621,,omihrr_,Diatas cantik masih ada buicis 😍,1,0,0,12/18/2024 9:19 PM,,,,
18088771477471830,52236326665,,nkelmawati,"Masha Allah kaya masih gadis lg yah ka icis❤️,,Moana cute bangeet",1,0,0,12/18/2024 9:19 PM,,,,
17998447895546053,51378925513,,rekt.97,diatas sajadah masih ada doa,1,0,0,12/18/2024 9:19 PM,,,,
18282424192300563,21000312645,,rahayuanggrainiii_,Ih Moana disini kyuuttt banget 😍 masyaallah,1,0,0,12/18/2024 9:19 PM,,,,
17866577784199984,2148744908,,inibronis_by_dewifitryan,Moaannn akur bgt sama Kaka nya yaaaa 😍 mana kakanya makin cakep aduh bahaya byk Kaka kelas yg ngincer ini mahhhh #eehhh 😂 Allahumma Barik cantik cantik😍 @riaricis1795,0,0,0,12/18/2024 9:19 PM,,,,
